"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"240","Add to your collection &amp; fill up your game board for a chance to win prizes - including Starbucks for Life.‚Ä¶ https://t.co/dwhAoG2ndN",FALSE,0,NA,2017-12-16 07:40:03,TRUE,NA,"941935942595526656",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","kassimay702",0,FALSE,FALSE,NA,NA
"241","I just knocked out a challenge and earned extra chances to win Starbucks for Life. #StarbucksforLife https://t.co/xT2wRIgawP",FALSE,0,NA,2017-12-16 07:38:07,FALSE,NA,"941935453472563200",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","whatuptwiggas",0,FALSE,FALSE,NA,NA
"242","Regardless of the weather, I really prefer my coffee iced. I don't know, I'm enjoying it when its chill. I guess, i‚Ä¶ https://t.co/XjPOsBAJe8",FALSE,0,NA,2017-12-16 07:34:54,TRUE,NA,"941934646673076224",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","ckarlatwits",0,FALSE,FALSE,NA,NA
"243","RT @twingemini4u: Retweet for a chance to win a free goody goody goodyÌ†ºÌΩ≠‚òïÌ†ºÌΩ≠ #StarbucksforLife 
#givegood",FALSE,0,NA,2017-12-16 07:10:11,FALSE,NA,"941928423970160640",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","dcostapenny1",575,TRUE,FALSE,NA,NA
"244","Add to your collection &amp; fill up your game board for a chance to win prizes - including Starbucks for Life.‚Ä¶ https://t.co/vGVsSel8BU",FALSE,0,NA,2017-12-16 07:08:59,TRUE,NA,"941928123989352448",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","nicoyitamorena",0,FALSE,FALSE,NA,NA
"245","Add to your collection &amp; fill up your game board for a chance to win prizes - including Starbucks for Life.‚Ä¶ https://t.co/otoqeAZAdq",FALSE,0,NA,2017-12-16 07:03:41,TRUE,NA,"941926790687346688",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Holly4UA",0,FALSE,FALSE,NA,NA
"246","I just knocked out a challenge and earned extra chances to win Starbucks for Life. #StarbucksforLife https://t.co/iGakscNZca",FALSE,0,NA,2017-12-16 07:01:58,FALSE,NA,"941926356014710784",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","garrettbarker10",0,FALSE,FALSE,NA,NA
"247","Add to your collection &amp; fill up your game board for a chance to win prizes - including Starbucks for Life.‚Ä¶ https://t.co/uQ2WcWd0vW",FALSE,1,NA,2017-12-16 07:01:18,TRUE,NA,"941926189299625984",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","lajefa_latina",0,FALSE,FALSE,NA,NA
"248","I just knocked out a challenge and earned extra chances to win Starbucks for Life. #StarbucksforLife https://t.co/uvP0EdrXNO",FALSE,0,NA,2017-12-16 06:55:52,FALSE,NA,"941924820605906944",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","PeaceLoveNFaith",0,FALSE,FALSE,NA,NA
"249","I just knocked out a challenge and earned extra chances to win Starbucks for Life. #StarbucksforLife https://t.co/Jb2hMvUhh3",FALSE,0,NA,2017-12-16 06:37:12,FALSE,NA,"941920124176498688",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Denised59346243",0,FALSE,FALSE,NA,NA
