"","screenName","text","retweet_count","favorite_count","score","absolute_score","lon","lat"
"233","DixielandAggie","Add to your collection &amp; fill up your game board for a chance to win prizes - including Starbucks for Life.‚Ä¶ https://t.co/3WjBx35d7T",0,0,1,1,-94.5785667,39.0997265
"235","djnancyd","Add to your collection &amp; fill up your game board for a chance to win prizes - including Starbucks for Life.‚Ä¶ https://t.co/3ptYBaSzmo",0,0,1,1,-75.5276699,38.9108325
"236","djohnson1507","Add to your collection &amp; fill up your game board for a chance to win prizes - including Starbucks for Life.‚Ä¶ https://t.co/zFuAU0Kg2Q",0,0,1,1,-99.9018131,31.9685988
"243","Doug1022","Add to your collection &amp; fill up your game board for a chance to win prizes - including Starbucks for Life.‚Ä¶ https://t.co/f0dxPHdNJX",0,0,1,1,-80.138934,26.1603626
"250","efigborges","Add to your collection &amp; fill up your game board for a chance to win prizes - including Starbucks for Life.‚Ä¶ https://t.co/DpRbLcvIZ1",0,0,1,1,-118.2436849,34.0522342
"252","ekrubmj","'Tis the season to be a winner. Millions of Stars, instant wins, and the chance at Starbucks for Life. Come play.‚Ä¶ https://t.co/cjYQKyevmv",0,1,2,2,-80.1373174,26.1224386
"254","EllaMcC","@Starbucks Who coded &amp; set up #StarbucksforLife this year? It can't even add 1+1. Refreshing, clearing cache loses turns. I quit.",0,0,0,0,-76.6121893,39.2903848
"255","elledine","RT @MorganLovesMen: STARBUCKS is my soul mate #StarbucksforLife  #givegood",1,0,0,0,-120.5542012,43.8041334
"256","elledine","RT @twingemini4u: Retweet for a chance to win a free goody goody goodyÌ†ºÌΩ≠‚òïÌ†ºÌΩ≠ #StarbucksforLife 
#givegood",572,0,0,0,-120.5542012,43.8041334
"258","ElliM","Add to your collection &amp; fill up your game board for a chance to win prizes - including Starbucks for Life.‚Ä¶ https://t.co/DsieTadLaa",0,0,1,1,-80.2213477,40.5169767
"259","EllisGBS","Add to your collection &amp; fill up your game board for a chance to win prizes - including Starbucks for Life.‚Ä¶ https://t.co/sQWhQcA36J",0,0,1,1,-71.4161565,42.279286
"262","EmilyEmEmEmi","I just knocked out a challenge and earned extra chances to win Starbucks for Life. #StarbucksforLife https://t.co/PADlmRVVnq",0,0,1,1,-87.896646,42.9475534
"267","Emmaleewalpole","Add to your collection &amp; fill up your game board for a chance to win prizes - including Starbucks for Life.‚Ä¶ https://t.co/RaBIKMrQr3",0,0,1,1,-80.5204096,43.4642578
"268","emonytinea","The lady asked if i wanted double syrup ‚Äî- make it triple Ì†ΩÌ∏©Ì†ΩÌ∏Ç #StarbucksforLife",0,0,0,0,-95.712891,37.09024
"272","erikafrose","Add to your collection &amp; fill up your game board for a chance to win prizes - including Starbucks for Life.‚Ä¶ https://t.co/Ze5PNRNMdD",0,0,1,1,-89.3985283,40.6331249
"276","EZahaKO","I want to win Starbucks for life so bad.  Add to your collection &amp; fill up your game board for a chance to win priz‚Ä¶ https://t.co/tCiSgwvfJz",0,0,1,1,-112.3496021,33.4355977
"277","EZahaKO","Add to your collection &amp; fill up your game board for a chance to win prizes - including Starbucks for Life.‚Ä¶ https://t.co/SZWaaw0dnI",0,0,1,1,-112.3496021,33.4355977
"284","figureoutmylife","@vanbeckersma uhhh you should get a Yule goat #StarbucksforLife https://t.co/pPEnR376rt",0,0,0,0,-74.694929,40.774716
"289","fwreed3","Add to your collection &amp; fill up your game board for a chance to win prizes - including Starbucks for Life.‚Ä¶ https://t.co/zJyIKbGmeE",0,0,1,1,-74.4056612,40.0583238
"291","gabe__03_","Add to your collection &amp; fill up your game board for a chance to win prizes - including Starbucks for Life.‚Ä¶ https://t.co/7vj22ZgDFH",0,0,1,1,-97.7413143,31.1950013
"296","GailGregory65","Add to your collection &amp; fill up your game board for a chance to win prizes - including Starbucks for Life.‚Ä¶ https://t.co/AiGHxnGM5L",0,0,1,1,-85.6023643,44.3148443
"298","GaryConachan","Even if you don‚Äôt have much money, you can still give someone your time. Find a way to do that this holiday season.‚Ä¶ https://t.co/oXP3tKU245",0,3,0,0,-122.6764815,45.5230622
"303","GetfitbyDC","Add to your collection &amp; fill up your game board for a chance to win prizes - including Starbucks for Life.‚Ä¶ https://t.co/P2SF0IWA0E",0,0,1,1,-78.6568942,37.4315734
"313","GlennSalyers","RT @lyssa_1270: Tweet for a chance to win free coffee...um, yes! #StarbucksforLife #GiveGood",2,0,2,2,-86.2519898,41.6763545
"314","GlitterySlits","Add to your collection &amp; fill up your game board for a chance to win prizes - including Starbucks for Life.‚Ä¶ https://t.co/g7EgQLQQH9",0,0,1,1,-95.3698028,29.7604267
"315","GloOchoa","Add to your collection &amp; fill up your game board for a chance to win prizes - including #Starbucks for Life.‚Ä¶ https://t.co/wTpu1TKVtj",5,0,1,1,-95.712891,37.09024
