"","screenName","text","retweet_count","favorite_count","score","absolute_score","lon","lat"
"248","dianeeforster","RT @davelackie: NEW Twitter Giveaway: Add some fun &amp; whimsy to your morning with this #StarbucksAtHome + Viva La Juicy Glace set! Win it! T…",1546,0,2,2,-79.8761741,34.2998762
"252","dinjawolf87","RT @davelackie: NEW Twitter Giveaway: Add some fun &amp; whimsy to your morning with this #StarbucksAtHome + Viva La Juicy Glace set! Win it! T…",1546,0,2,2,-95.712891,37.09024
"254","Dizzle101","RT @davelackie: NEW Twitter Giveaway: Add some fun &amp; whimsy to your morning with this #StarbucksAtHome + Viva La Juicy Glace set! Win it! T…",1546,0,2,2,-87.4044868,46.5596032
"255","djc319","RT @davelackie: NEW Twitter Giveaway: Add some fun &amp; whimsy to your morning with this #StarbucksAtHome + Viva La Juicy Glace set! Win it! T…",1546,0,2,2,-96.3324817,32.9751204
"258","dorseycouponing","RT @davelackie: NEW Twitter Giveaway: Add some fun &amp; whimsy to your morning with this #StarbucksAtHome + Viva La Juicy Glace set! Win it! T…",1546,0,2,2,-95.712891,37.09024
"259","dragonfly777","RT @davelackie: NEW Twitter Giveaway: Add some fun &amp; whimsy to your morning with this #StarbucksAtHome + Viva La Juicy Glace set! Win it! T…",1546,0,2,2,-71.0588801,42.3600825
"265","edgyerin","RT @davelackie: NEW Twitter Giveaway: Add some fun &amp; whimsy to your morning with this #StarbucksAtHome + Viva La Juicy Glace set! Win it! T…",1546,0,2,2,-116.5765035,53.9332706
"283","ESlap","RT @davelackie: NEW Twitter Giveaway: Add some fun &amp; whimsy to your morning with this #StarbucksAtHome + Viva La Juicy Glace set! Win it! T…",1546,0,2,2,-79.3831843,43.653226
"286","f1nallyr1ch","RT @davelackie: NEW Twitter Giveaway: Add some fun &amp; whimsy to your morning with this #StarbucksAtHome + Viva La Juicy Glace set! Win it! T…",1546,0,2,2,-78.6568942,37.4315734
"287","FandomHopper","RT @davelackie: NEW Twitter Giveaway: Add some fun &amp; whimsy to your morning with this #StarbucksAtHome + Viva La Juicy Glace set! Win it! T…",1546,0,2,2,-73.9865533,40.7263542
"293","FerraroChrista","RT @davelackie: NEW Twitter Giveaway: Add some fun &amp; whimsy to your morning with this #StarbucksAtHome + Viva La Juicy Glace set! Win it! T…",1546,0,2,2,-73.087749,41.6032207
"297","finntannermom","RT @davelackie: NEW Twitter Giveaway: Add some fun &amp; whimsy to your morning with this #StarbucksAtHome + Viva La Juicy Glace set! Win it! T…",1546,0,2,2,-86.6302625,33.3401108
"298","FisherZaiser","RT @davelackie: NEW Twitter Giveaway: Add some fun &amp; whimsy to your morning with this #StarbucksAtHome + Viva La Juicy Glace set! Win it! T…",1546,0,2,2,-89.2476823,48.3808951
"305","freakdujour","RT @davelackie: NEW Twitter Giveaway: Add some fun &amp; whimsy to your morning with this #StarbucksAtHome + Viva La Juicy Glace set! Win it! T…",1546,0,2,2,-81.2362107,33.9815369
"307","frugalwoman","RT @davelackie: NEW Twitter Giveaway: Add some fun &amp; whimsy to your morning with this #StarbucksAtHome + Viva La Juicy Glace set! Win it! T…",1546,0,2,2,-123.3656444,48.4284207
