"","lon","lat"
"505",NA,NA
"506",NA,NA
"507",NA,NA
"508",NA,NA
"509",NA,NA
"510",-97.3307658,32.7554883
"511",NA,NA
"512",NA,NA
"513",-86.2519898,41.6763545
"514",NA,NA
"515",NA,NA
"516",-75.8271563,38.8845582
"517",NA,NA
"518",NA,NA
"519",NA,NA
"520",NA,NA
"521",-94.1632404,45.5579451
"522",-86.158068,39.768403
"523",NA,NA
"524",NA,NA
"525",NA,NA
"526",-85.7584557,38.2526647
"527",NA,NA
"528",NA,NA
"529",-122.4194155,37.7749295
"530",-74.0059728,40.7127753
"531",NA,NA
"532",NA,NA
"533",NA,NA
"534",NA,NA
"535",-70.9756186,43.304526
"536",-73.8076088,40.6701483
"537",-112.0740373,33.4483771
"538",NA,NA
"539",NA,NA
"540",NA,NA
"541",NA,NA
"542",NA,NA
"543",NA,NA
"544",NA,NA
"545",-122.5770322,45.1473445
"546",NA,NA
"547",-81.5636838,28.80777
"548",-84.3879824,33.7489954
"549",-71.2923877,42.296797
"550",-116.2155619,33.7205771
"551",NA,NA
"552",NA,NA
"553",NA,NA
"554",-79.6903316,44.3893556
"555",NA,NA
"556",NA,NA
"557",-95.9979883,41.2523634
"558",-84.3879824,33.7489954
"559",-119.4179324,36.778261
"560",NA,NA
"561",NA,NA
"562",-87.95339,41.96657
"563",NA,NA
"564",-95.3698028,29.7604267
"565",-99.9018131,41.4925374
"566",NA,NA
"567",NA,NA
"568",NA,NA
"569",NA,NA
"570",NA,NA
"571",-84.5120196,39.1031182
"572",-99.9018131,31.9685988
"573",NA,NA
"574",-95.3725285,29.74689
"575",-80.965652,32.032139
"576",-84.5120196,39.1031182
"577",-82.4571776,27.950575
"578",NA,NA
"579",NA,NA
"580",NA,NA
"581",NA,NA
"582",NA,NA
"583",NA,NA
"584",-76.6121893,39.2903848
"585",-92.2895948,34.7464809
"586",-84.9877094,32.4609764
"587",-118.2436849,34.0522342
"588",NA,NA
"589",NA,NA
"590",NA,NA
"591",NA,NA
"592",NA,NA
"593",-106.346771,56.130366
"594",NA,NA
"595",NA,NA
"596",NA,NA
"597",NA,NA
"598",-75.977985,36.8529263
"599",NA,NA
"600",NA,NA
"601",NA,NA
"602",-122.3320708,47.6062095
"603",NA,NA
"604",NA,NA
"605",NA,NA
"606",NA,NA
"607",NA,NA
"608",NA,NA
"609",-87.6297982,41.8781136
"610",NA,NA
"611",-82.907123,40.4172871
"612",NA,NA
"613",NA,NA
"614",NA,NA
"615",NA,NA
"616",NA,NA
"617",-74.0059728,40.7127753
"618",NA,NA
"619",-78.8783689,42.8864468
"620",-94.1265562,30.080174
"621",NA,NA
"622",NA,NA
"623",NA,NA
"624",NA,NA
"625",NA,NA
"626",NA,NA
"627",-91.1403196,30.4582829
"628",NA,NA
