"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"35","RT @davelackie: NEW Twitter Giveaway: Add some fun &amp; whimsy to your morning with this #StarbucksAtHome + Viva La Juicy Glace set! Win it! T…",FALSE,0,NA,2017-12-17 05:02:03,FALSE,NA,"942258566345437184",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","stellaOus",3700,TRUE,FALSE,NA,NA
"36","RT @davelackie: NEW Twitter Giveaway: Add some fun &amp; whimsy to your morning with this #StarbucksAtHome + Viva La Juicy Glace set! Win it! T…",FALSE,0,NA,2017-12-17 05:00:48,FALSE,NA,"942258252540243968",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","AceWhitehead",3700,TRUE,FALSE,NA,NA
"37","RT @davelackie: NEW Twitter Giveaway: Add some fun &amp; whimsy to your morning with this #StarbucksAtHome + Viva La Juicy Glace set! Win it! T…",FALSE,0,NA,2017-12-17 04:59:54,FALSE,NA,"942258024495894529",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","inuk37",3700,TRUE,FALSE,NA,NA
"38","RT @davelackie: I'm giving away this #StarbucksAtHome Pike Place + Clinique Stocking Stuffer set on Twitter! To enter follow @davelackie &amp;…",FALSE,0,NA,2017-12-17 04:59:53,FALSE,NA,"942258023602339840",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","coultlee",3765,TRUE,FALSE,NA,NA
"39","RT @davelackie: NEW Twitter Giveaway: Add some fun &amp; whimsy to your morning with this #StarbucksAtHome + Viva La Juicy Glace set! Win it! T…",FALSE,0,NA,2017-12-17 04:59:03,FALSE,NA,"942257812700311552",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Eleuthera1",3700,TRUE,FALSE,NA,NA
"40","RT @davelackie: NEW Twitter Giveaway: Add some fun &amp; whimsy to your morning with this #StarbucksAtHome + Viva La Juicy Glace set! Win it! T…",FALSE,0,NA,2017-12-17 04:58:15,FALSE,NA,"942257611692486661",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","CarrieVarner",3700,TRUE,FALSE,NA,NA
"41","RT @davelackie: NEW Twitter Giveaway: Add some fun &amp; whimsy to your morning with this #StarbucksAtHome + Viva La Juicy Glace set! Win it! T…",FALSE,0,NA,2017-12-17 04:56:12,FALSE,NA,"942257097269497856",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","tonyski44",3700,TRUE,FALSE,NA,NA
"42","RT @davelackie: NEW Twitter Giveaway: Add some fun &amp; whimsy to your morning with this #StarbucksAtHome + Viva La Juicy Glace set! Win it! T…",FALSE,0,NA,2017-12-17 04:54:34,FALSE,NA,"942256686017974274",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Lite</a>","butterfly2838",3700,TRUE,FALSE,NA,NA
"43","RT @davelackie: NEW Twitter Giveaway: Add some fun &amp; whimsy to your morning with this #StarbucksAtHome + Viva La Juicy Glace set! Win it! T…",FALSE,0,NA,2017-12-17 04:52:22,FALSE,NA,"942256130629148673",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Lite</a>","Elevians_Grrr",3700,TRUE,FALSE,NA,NA
"44","RT @davelackie: NEW Twitter Giveaway: Add some fun &amp; whimsy to your morning with this #StarbucksAtHome + Viva La Juicy Glace set! Win it! T…",FALSE,0,NA,2017-12-17 04:52:00,FALSE,NA,"942256038367162369",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","samanthalauzon",3700,TRUE,FALSE,NA,NA
"45","RT @davelackie: NEW Twitter Giveaway: Add some fun &amp; whimsy to your morning with this #StarbucksAtHome + Viva La Juicy Glace set! Win it! T…",FALSE,0,NA,2017-12-17 04:48:24,FALSE,NA,"942255133403910145",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","kelseece",3700,TRUE,FALSE,NA,NA
"46","RT @davelackie: NEW Twitter Giveaway: Add some fun &amp; whimsy to your morning with this #StarbucksAtHome + Viva La Juicy Glace set! Win it! T…",FALSE,0,NA,2017-12-17 04:48:13,FALSE,NA,"942255088168587264",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Lite</a>","Treksimo27",3700,TRUE,FALSE,NA,NA
"47","RT @davelackie: NEW Twitter Giveaway: Add some fun &amp; whimsy to your morning with this #StarbucksAtHome + Viva La Juicy Glace set! Win it! T…",FALSE,0,NA,2017-12-17 04:46:33,FALSE,NA,"942254667911835648",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","suilobo",3700,TRUE,FALSE,NA,NA
"48","RT @davelackie: NEW Twitter Giveaway: Add some fun &amp; whimsy to your morning with this #StarbucksAtHome + Viva La Juicy Glace set! Win it! T…",FALSE,0,NA,2017-12-17 04:46:29,FALSE,NA,"942254649490444288",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","NitaRedditt",3700,TRUE,FALSE,NA,NA
"49","RT @davelackie: NEW Twitter Giveaway: Add some fun &amp; whimsy to your morning with this #StarbucksAtHome + Viva La Juicy Glace set! Win it! T…",FALSE,0,NA,2017-12-17 04:45:50,FALSE,NA,"942254488601075712",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","rose136",3700,TRUE,FALSE,NA,NA
"50","RT @davelackie: NEW Twitter Giveaway: Add some fun &amp; whimsy to your morning with this #StarbucksAtHome + Viva La Juicy Glace set! Win it! T…",FALSE,0,NA,2017-12-17 04:45:42,FALSE,NA,"942254451070554113",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Linda2588Adams",3700,TRUE,FALSE,NA,NA
"51","RT @davelackie: NEW Twitter Giveaway: Add some fun &amp; whimsy to your morning with this #StarbucksAtHome + Viva La Juicy Glace set! Win it! T…",FALSE,0,NA,2017-12-17 04:44:50,FALSE,NA,"942254235449573377",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","runitbymom",3700,TRUE,FALSE,NA,NA
"52","RT @davelackie: NEW Twitter Giveaway: Add some fun &amp; whimsy to your morning with this #StarbucksAtHome + Viva La Juicy Glace set! Win it! T…",FALSE,0,NA,2017-12-17 04:44:17,FALSE,NA,"942254098421727232",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","crmcarebear",3700,TRUE,FALSE,NA,NA
"53","RT @davelackie: NEW Twitter Giveaway: Add some fun &amp; whimsy to your morning with this #StarbucksAtHome + Viva La Juicy Glace set! Win it! T…",FALSE,0,NA,2017-12-17 04:44:10,FALSE,NA,"942254065160876032",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Cupcake66337016",3700,TRUE,FALSE,NA,NA
"54","RT @davelackie: NEW Twitter Giveaway: Add some fun &amp; whimsy to your morning with this #StarbucksAtHome + Viva La Juicy Glace set! Win it! T…",FALSE,0,NA,2017-12-17 04:43:50,FALSE,NA,"942253984391319552",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Zbrownsdawg",3700,TRUE,FALSE,NA,NA
"55","RT @davelackie: NEW Twitter Giveaway: Add some fun &amp; whimsy to your morning with this #StarbucksAtHome + Viva La Juicy Glace set! Win it! T…",FALSE,0,NA,2017-12-17 04:43:23,FALSE,NA,"942253869706424320",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Pink_Frenzy",3700,TRUE,FALSE,NA,NA
"56","RT @davelackie: NEW Twitter Giveaway: Add some fun &amp; whimsy to your morning with this #StarbucksAtHome + Viva La Juicy Glace set! Win it! T…",FALSE,0,NA,2017-12-17 04:40:02,FALSE,NA,"942253027804762112",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","misterbrucelee",3700,TRUE,FALSE,NA,NA
