"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"353","RT @DailyNickJonas: Ì†ΩÌ≥π: Nick performing Chains today at Starbucks #GiveGood https://t.co/P9WQ5apMUQ",FALSE,0,NA,2017-12-16 23:30:25,FALSE,NA,"942175110320001026",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","remindjonas",15,TRUE,FALSE,NA,NA
"354","Trying to win Starbucks for life!‚ú® #GiveGood",FALSE,1,NA,2017-12-16 23:29:02,FALSE,NA,"942174759302737921",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","AlyssaMejia9",1,FALSE,FALSE,NA,NA
"355","RT @FazeMagazine: You could #WIN a $20 @StarbucksCanada gift card! 'Tis the season to #GiveGood Share the #love with your BFF, teacher, you‚Ä¶",FALSE,0,NA,2017-12-16 23:28:02,FALSE,NA,"942174510668701696",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","alexandra_danae",290,TRUE,FALSE,NA,NA
"356","RT @DailyNickJonas: Ì†ΩÌ≥∏: Nick today performing at Starbucks #GiveGood https://t.co/9oXWqalFfU",FALSE,0,NA,2017-12-16 23:27:00,FALSE,NA,"942174251410391040",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","NathalyStephani",7,TRUE,FALSE,NA,NA
"357","#givegood this holiday season!",FALSE,0,NA,2017-12-16 23:26:52,FALSE,NA,"942174215322701824",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Lite</a>","disneygirl32830",0,FALSE,FALSE,NA,NA
"358","RT @b_mo_88: Socks are the #1 most requested item from the homeless population.  Retweet and get the word out #givegood",FALSE,0,NA,2017-12-16 23:25:50,FALSE,NA,"942173956282507264",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","NativeShortcake",671,TRUE,FALSE,NA,NA
"359","#GiveGood Starbucks Holiday/ Christmas gift cards make excellent stocking stuffers. Ì†ºÌæÅ",FALSE,0,NA,2017-12-16 23:24:57,FALSE,NA,"942173735565611008",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","findingadrian",0,FALSE,FALSE,NA,NA
"360","RT @DailyNickJonas: Ì†ΩÌ≥π: Nick performing Home at Starbucks today #GiveGood #2 https://t.co/vJX2VMVtCt",FALSE,0,NA,2017-12-16 23:23:06,FALSE,NA,"942173269301620736",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","CityDove92",6,TRUE,FALSE,NA,NA
"361","RT @DailyNickJonas: Ì†ΩÌ≥π: Nick performing Home at Starbucks today #GiveGood #1 https://t.co/LlxoS9abJA",FALSE,0,NA,2017-12-16 23:23:04,FALSE,NA,"942173260837515264",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","CityDove92",10,TRUE,FALSE,NA,NA
"362","RT @DailyNickJonas: Ì†ΩÌ≥∏: Nick today performing at Starbucks #GiveGood https://t.co/9oXWqalFfU",FALSE,0,NA,2017-12-16 23:22:36,FALSE,NA,"942173143556386817",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","CityDove92",7,TRUE,FALSE,NA,NA
"363","RT @DailyNickJonas: Ì†ΩÌ≥π: Nick today at Starbucks #GiveGood https://t.co/ZaJocGUvhm",FALSE,0,NA,2017-12-16 23:22:19,FALSE,NA,"942173070747422721",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","CityDove92",6,TRUE,FALSE,NA,NA
"364","No act of kindness, no matter how small, is wasted.  #GiveGood",FALSE,2,NA,2017-12-16 23:21:59,FALSE,NA,"942172986085462016",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","ProfWeston",0,FALSE,FALSE,NA,NA
"365","RT @DailyNickJonas: Ì†ΩÌ≥π: Nick performing Chains today at Starbucks #GiveGood https://t.co/P9WQ5apMUQ",FALSE,0,NA,2017-12-16 23:21:46,FALSE,NA,"942172932847099904",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","CityDove92",15,TRUE,FALSE,NA,NA
"366","RT @DailyNickJonas: Ì†ΩÌ≥π: Nick today at Starbucks #GiveGood https://t.co/ZaJocGUvhm",FALSE,0,NA,2017-12-16 23:21:15,FALSE,NA,"942172801561018368",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Simjonasbooks",6,TRUE,FALSE,NA,NA
"367","RT @CarieShipman: #GiveGood retweet for a chance to win Starbucks for life.",FALSE,0,NA,2017-12-16 23:20:59,FALSE,NA,"942172734582222848",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","cindy_figgins",1359,TRUE,FALSE,NA,NA
"368","RT @MsD422: #givegood¬† Spread cheer this holiday season by surprising someone with a‚Äùjust because‚Äù act of kindness.",FALSE,0,NA,2017-12-16 23:19:30,FALSE,NA,"942172362769862657",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","rumour24",291,TRUE,FALSE,NA,NA
